timestamp,week,tow,prn,sys,snr,azimuth,elevation,pseudorange,doppler,psr_residual,spp_x,spp_y,spp_z,gt_lat,gt_lon,gt_h
1606433055.002000,2656,84255.002000,13,1,42.000000,0.000000,0.000000,21237162.505172,1271.866699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1606433055.002000,2656,84255.002000,5,1,39.000000,0.000000,0.000000,21779676.425491,-1344.203369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1606433055.002000,2656,84255.002000,2,1,41.000000,0.000000,0.000000,22114773.147163,-73.966064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1606433055.002000,2656,84255.002000,15,1,14.000000,0.000000,0.000000,22914951.072796,2805.496338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1606433055.002000,2656,84255.002000,108,32,42.000000,0.000000,0.000000,24323618.714687,2062.200928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1606433055.002000,2656,84255.002000,113,32,41.000000,0.000000,0.000000,37553681.950684,650.718262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1606433055.002000,2656,84255.002000,131,32,46.000000,0.000000,0.000000,22874150.495271,805.800537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1606433055.002000,2656,84255.002000,110,32,41.000000,0.000000,0.000000,37962924.068325,184.622070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1606433055.002000,2656,84255.002000,118,32,47.000000,0.000000,0.000000,23125796.650743,-1777.992676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1606433055.002000,2656,84255.002000,109,32,45.000000,0.000000,0.000000,22054526.830364,-653.906250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1606433055.002000,2656,84255.002000,29,1,35.000000,0.000000,0.000000,23594334.614121,2374.208008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1606433055.002000,2656,84255.002000,6,1,37.000000,0.000000,0.000000,24197911.643586,-2159.682129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
